Name,Lat,Lon
GSA,6.07666666667,125.09
GT,35.9216666667,74.3366666667
GTL,0.645,122.848333333
GU,35.105,112.52
GUAN,39.4333333333,116.308333333
GUAVA,22.16,114.06
GUILI,25.2,110.216666667
GULEK,36.4633333333,115.406666667
GUPAD,36.3116666667,110.473333333
GURIN,21.8291666667,113.0
GURNI,32.1533333333,120.978333333
GUTIK,37.3633333333,126.263333333
GUVLA,26.9283333333,116.608333333
GYA,23.0716666667,112.485
GYN,32.3883333333,105.691666667
HALMO,1.145,126.543333333
HANGB,40.2,116.366666667
HB,42.3316666667,118.836666667
HCH,37.6533333333,120.543333333
HD,41.5333333333,113.15
HDH,36.5266666667,114.421666667
HDS,39.4916666667,109.86
HENGA,22.65,114.2
HERON,21.33,113.892777778
HET,40.8483333333,111.821666667
HFE,31.7758333333,117.299722222
HG,37.7216666667,115.708333333
HGH,30.3275,120.229444444
HJ,44.0166666667,89.6333333333
HKG,22.2166666667,114.248333333
HL,49.2088888889,119.793611111
HLD,49.2033333333,119.821666667
HLH,46.1966666667,122.008333333
HM,30.0683333333,115.913333333
HMI,42.8333333333,93.6383333333
HO,35.2033333333,107.775
HONGX,30.3183333333,104.086666667
HRB,45.6283333333,126.258333333
HSH,31.37,121.845
HSN,29.9333333333,122.363333333
HT,25.25,118.008333333
HTN,37.035,79.8683333333
HUA,28.5686111111,121.433888889
HUR,40.3291666667,116.747194444
HW,33.48,118.706666667
HX,26.8616666667,104.28
HXS,30.3183333333,104.086666667
HY,28.5769444444,109.453888889
HYN,28.5783333333,109.451666667
HZ,30.65,113.15
IBAVI,6.57,112.71
ICG,39.1131388889,117.350583333
ID,31.6680555556,118.716944444
IDOSI,19.0,112.5
IDOXO,6.045,113.386666667
IDSEG,27.6816666667,105.686666667
IDSID,27.63,105.11
IGNIS,17.35,111.15
IJ,47.8683333333,134.646666667
IJS,39.1333333333,117.338333333
IKAGA,43.615,129.311666667
IKATA,23.765,117.136666667
IKELA,18.6616666667,112.245
IKENU,29.6333333333,119.416666667
IKITI,45.915,121.235
IKJ,40.8502777778,111.834722222
IKUNI,10.1347222222,107.548888889
ILG,40.0986111111,116.570833333
IML,32.9766666667,112.605
INTIK,43.68,111.901666667
INTXN,24.07,100.576666667
INX,36.2719444444,120.372777778
IOO,10.7177777778,122.545833333
