Name	Latitude			Longitude		
DOVEL	N09	12	46.0	E109	16	1.0
DOXAS	N39	08	46.0	E116	54	6.0
DP	N34	46	29.0	E117	22	5.0
DS	N30	12	6.0	E106	50	48.0
DSH	N30	08	54.0	E120	30	0.0
DULON	N02	00	0.0	E126	03	42.0
DUMAN	N31	25	12.0	E122	27	18.0
DUNAR	N14	03	30.0	E111	45	54.0
DX	N28	59	0.0	E117	29	0.0
DY	N39	24	0.0	E102	49	0.0
DYG	N29	06	24.0	E110	26	18.0
EGANA	N23	57	36.0	E113	49	6.0
EGEMU	N17	00	0.0	E111	17	0.0
ELAGO	N30	48	0.0	E122	11	0.0
ELANG	N00	56	0.0	E114	49	50.0
ELATO	N22	20	0.0	E117	30	0.0
ELKAL	N26	05	42.0	E108	23	42.0
ELNEX	N29	37	54.0	E119	29	24.0
ELPUN	N46	18	30.0	E121	04	18.0
ENH	N30	17	36.0	E109	36	0.0
ENKUS	N24	38	54.0	E109	51	12.0
ENVAR	N21	59	30.0	E117	30	0.0
EPGAL	N31	44	48.0	E118	05	54.0
EPGAM	N37	14	48.0	E116	54	0.0
EPKAL	N17	51	30.0	E112	57	18.0
ERE	N43	38	24.0	E111	57	18.0
EREMA	N43	02	0.0	E113	11	29.0
ESBAG	N31	37	12.0	E119	40	36.0
ESPIT	N02	00	12.0	E107	26	24.0
EXOL	N08	10	48.0	E110	37	24.0
EXOTO	N15	21	30.0	E111	03	0.0
FATOL	N00	29	0.0	E129	10	48.0
FB	N42	34	0.0	E124	01	0.0
FC	N37	02	0.0	E075	30	0.0
FD	N36	56	6.0	E120	37	24.0
FJ	N41	34	56.0	E120	25	20.0
FJC	N29	55	48.0	E104	18	12.0
FK	N28	37	30.0	E121	26	48.0
FKG	N44	10	12.0	E087	58	54.0
FL	N38	14	48.0	E114	53	30.0
FLG	N29	41	54.0	E107	22	36.0
FM	N29	21	0.0	E111	38	24.0
FO	N23	08	21.0	E113	14	21.0
FOC	N25	56	24.0	E119	39	42.0
FORBI	N39	54	30.0	E116	20	30.0
FORMY	N00	40	18.0	E128	23	36.0
FQG	N25	44	30.0	E119	23	6.0
FR	N30	36	30.0	E103	28	30.0
FUGOU	N34	03	30.0	E114	28	0.0
FW	N24	19	20.0	E116	07	35.0
FX	N40	50	12.0	E111	45	43.0
FY	N35	45	30.0	E107	38	42.0
FYG	N32	52	54.0	E115	43	42.0
FZ	N37	27	0.0	E121	10	36.0
GC	N34	03	30.0	E114	28	0.0
GD	N40	27	18.0	E124	04	0.0
GF	N34	32	48.0	E108	37	48.0
GHN	N30	57	10.0	E104	19	33.0
GITUM	N40	44	41.2	E116	59	3.6
GIVIL	N19	15	0.0	E109	50	0.0
GJ	N28	04	30.0	E112	14	34.0
GL	N39	45	48.0	E113	11	12.0
GLN	N22	42	36.0	E114	02	6.0
GM	N41	14	6.0	E116	37	30.0
GMA	N23	31	46.0	E099	24	33.0
GO	N36	55	54.0	E117	12	55.0
GOLAL	N36	45	30.0	E117	03	36.0
GOLOT	N40	12	30.0	E124	30	30.0
GOMAN	N40	13	12.0	E122	17	54.0
GONAV	N37	12	36.0	E124	24	54.0
GONTA	N00	53	0.0	E123	24	0.0
GOPAD	N36	22	48.0	E110	29	18.0
GOPTO	N49	05	30.0	E087	28	0.0
GORAI	N04	00	0.0	E120	44	0.0
GOSMA	N29	21	6.0	E113	14	6.0
GRUPA	N20	50	44.0	E115	56	59.0
GS	N31	39	0.0	E119	02	24.0
GSA	N06	04	36.0	E125	05	24.0
GT	N35	55	18.0	E074	20	12.0
GTL	N00	38	42.0	E122	50	54.0
GU	N35	06	18.0	E112	31	12.0
GUAN	N39	26	0.0	E116	18	30.0
